ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
-104324,2791.9,0.5,0.5,8.9,1.0,1.0,1/2,5,1,5,1,-1,3,0,Xi(c)(2790),USC,\overline{\Xi}_{c}(2790)^{-}
110551,10232.5,0.6,0.6,-1.0,-1.0,-1.0,0,1,1,1,0,0,0,0,chi(b0)(2P),bB,\chi_{b0}(2P)
120553,10255.5,0.5,0.5,-1.0,-1.0,-1.0,0,1,1,1,0,0,0,0,chi(b1)(2P),bB,\chi_{b1}(2P)
200553,10355.2,0.5,0.5,0.0203,0.0019,0.0019,0,-1,-1,-1,0,0,0,0,Upsilon(3S),bB,\Upsilon(3S)
203312,1690.0,10.0,10.0,-1.0,-1.0,-1.0,1/2,5,5,5,1,-1,3,1,Xi(1690),dss,\Xi(1690)^{-}
-203312,1690.0,10.0,10.0,-1.0,-1.0,-1.0,1/2,5,5,5,1,1,3,1,Xi(1690),DSS,\overline{\Xi}(1690)^{+}
203316,2025.0,5.0,5.0,20.0,15.0,5.0,1/2,5,5,5,1,-1,3,1,Xi(2030),dss,\Xi(2030)^{-}
-203316,2025.0,5.0,5.0,20.0,15.0,5.0,1/2,5,5,5,1,1,3,1,Xi(2030),DSS,\overline{\Xi}(2030)^{+}
203322,1690.0,10.0,10.0,-1.0,-1.0,-1.0,1/2,5,5,5,1,0,3,1,Xi(1690),uss,\Xi(1690)^{0}
-203322,1690.0,10.0,10.0,-1.0,-1.0,-1.0,1/2,5,5,5,1,0,3,1,Xi(1690),USS,\overline{\Xi}(1690)^{0}
203326,2025.0,5.0,5.0,20.0,15.0,5.0,1/2,5,5,5,1,0,3,1,Xi(2030),uss,\Xi(2030)^{0}
-203326,2025.0,5.0,5.0,20.0,15.0,5.0,1/2,5,5,5,1,0,3,1,Xi(2030),USS,\overline{\Xi}(2030)^{0}
203338,2252.0,9.0,9.0,55.0,18.0,18.0,0,5,5,5,1,-1,3,0,Omega(2250),sss,\Omega(2250)^{-}
-203338,2252.0,9.0,9.0,55.0,18.0,18.0,0,5,5,5,1,1,3,0,Omega(2250),SSS,\overline{\Omega}(2250)^{+}
204126,2881.63,0.24,0.24,5.6,0.8,0.6,0,5,1,5,1,1,3,0,Lambda(c)(2880),udc,\Lambda_{c}(2880)^{+}
-204126,2881.63,0.24,0.24,5.6,0.8,0.6,0,5,-1,5,1,-1,3,0,Lambda(c)(2880),UDC,\overline{\Lambda}_{c}(2880)^{-}
300553,10579.4,1.2,1.2,20.5,2.5,2.5,0,-1,-1,-1,0,0,0,0,Upsilon(4S),bB,\Upsilon(4S)
1000223,1410.0,60.0,60.0,290.0,190.0,190.0,0,-1,-1,-1,0,0,0,0,omega(1420),x(uU+dD)+y(sS),\omega(1420)
9000111,980.0,20.0,20.0,75.0,25.0,25.0,1,-1,1,1,0,0,0,0,a(0)(980),Maybe non-qQ,a_{0}(980)^{0}
9000113,1354.0,25.0,25.0,330.0,35.0,35.0,1,-1,-1,1,0,0,0,0,pi(1)(1400),Maybe non-qQ,\pi_{1}(1400)^{0}
9000115,1700.0,40.0,40.0,270.0,60.0,60.0,1,-1,1,1,0,0,0,2,a(2)(1700),(uU-dD)/sqrt(2),a_{2}(1700)^{0}
9000211,980.0,20.0,20.0,75.0,25.0,25.0,1,-1,1,5,2,1,0,0,a(0)(980),Maybe non-qQ,a_{0}(980)^{+}
-9000211,980.0,20.0,20.0,75.0,25.0,25.0,1,-1,1,5,2,-1,0,0,a(0)(980),Maybe non-qq,a_{0}(980)^{-}
9000213,1354.0,25.0,25.0,330.0,35.0,35.0,1,-1,-1,5,2,1,0,0,pi(1)(1400),Maybe non-qQ,\pi_{1}(1400)^{+}
-9000213,1354.0,25.0,25.0,330.0,35.0,35.0,1,-1,-1,5,2,-1,0,0,pi(1)(1400),Maybe non-qq,\pi_{1}(1400)^{-}
9000215,1700.0,40.0,40.0,270.0,60.0,60.0,1,-1,-1,5,2,1,0,2,a(2)(1700),uD,a_{2}(1700)^{+}
-9000215,1700.0,40.0,40.0,270.0,60.0,60.0,1,-1,-1,5,2,-1,0,2,a(2)(1700),Ud,a_{2}(1700)^{-}
9000221,600.0,200.0,200.0,450.0,350.0,350.0,0,1,1,1,0,0,0,0,f(0)(500),Maybe non-qQ,f_{0}(500)
9000311,845.0,17.0,17.0,468.0,30.0,30.0,1/2,5,1,5,1,0,0,2,K(0)*(700),dS,K_{0}^{*}(700)^{0}
-9000311,845.0,17.0,17.0,468.0,30.0,30.0,1/2,5,1,5,1,0,0,2,K(0)*(700),Ds,\overline{K}_{0}^{*}(700)^{0}
9000313,1670.0,50.0,50.0,160.0,50.0,50.0,1/2,5,1,5,1,0,0,2,K(1)(1650),dS,K_{1}(1650)^{0}
-9000313,1670.0,50.0,50.0,160.0,50.0,50.0,1/2,5,1,5,1,0,0,2,K(1)(1650),Ds,\overline{K}_{1}(1650)^{0}
9000321,845.0,17.0,17.0,468.0,30.0,30.0,1/2,5,1,5,2,1,0,2,K(0)*(700),uS,K_{0}^{*}(700)^{+}
-9000321,845.0,17.0,17.0,468.0,30.0,30.0,1/2,5,1,5,2,-1,0,2,K(0)*(700),Us,K_{0}^{*}(700)^{-}
9000323,1670.0,50.0,50.0,160.0,50.0,50.0,1/2,5,5,5,2,1,0,2,K(1)(1650),uS,K_{1}(1650)^{+}
-9000323,1670.0,50.0,50.0,160.0,50.0,50.0,1/2,5,5,5,2,-1,0,2,K(1)(1650),Us,K_{1}(1650)^{-}
9000325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,1,0,2,K(2)(1580),uS,K_{2}(1580)^{+}
-9000325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,-1,0,2,K(2)(1580),Us,K_{2}(1580)^{-}
9000329,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,1,0,2,K(4)(2500),uS,K_{4}(2500)^{+}
-9000329,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,-1,0,2,K(4)(2500),Us,K_{4}(2500)^{-}
9000443,4039.0,1.0,1.0,80.0,10.0,10.0,0,-1,-1,-1,0,0,0,0,psi(4040),cC,\psi(4040)
9000553,10885.2,2.6,1.6,37.0,4.0,4.0,0,-1,-1,-1,0,0,0,0,Upsilon(10860),bB,\Upsilon(10860)
9010111,1810.0,9.0,11.0,215.0,7.0,8.0,1,-1,-1,1,0,0,0,0,pi(1800),(uU-dD)/sqrt(2),\pi(1800)^{0}
9010113,1661.0,15.0,11.0,240.0,50.0,50.0,1,-1,-1,1,0,0,0,0,pi(1)(1600),Maybe non-qQ,\pi_{1}(1600)^{0}
9010211,1810.0,9.0,11.0,215.0,7.0,8.0,1,-1,-1,5,2,1,0,0,pi(1800),uD,\pi(1800)^{+}
-9010211,1810.0,9.0,11.0,215.0,7.0,8.0,1,-1,-1,5,2,-1,0,0,pi(1800),Ud,\pi(1800)^{-}
9010213,1661.0,15.0,11.0,240.0,50.0,50.0,1,-1,-1,5,2,1,0,0,pi(1)(1600),Maybe non-qQ,\pi_{1}(1600)^{+}
-9010213,1661.0,15.0,11.0,240.0,50.0,50.0,1,-1,-1,5,2,-1,0,0,pi(1)(1600),Maybe non-qq,\pi_{1}(1600)^{-}
9010221,990.0,20.0,20.0,60.0,50.0,50.0,0,1,1,1,0,0,0,0,f(0)(980),Maybe non-qQ,f_{0}(980)
9010315,1990.0,60.0,50.0,349.0,50.0,30.0,1/2,5,5,5,1,0,0,2,K(2)*(1980),dS,K_{2}^{*}(1980)^{0}
-9010315,1990.0,60.0,50.0,349.0,50.0,30.0,1/2,5,5,5,1,0,0,2,K(2)*(1980),Ds,\overline{K}_{2}^{*}(1980)^{0}
9010321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,1,0,2,K(1830),uS,K(1830)^{+}
-9010321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1/2,5,5,5,2,-1,0,2,K(1830),Us,K(1830)^{-}
9010325,1990.0,60.0,50.0,349.0,50.0,30.0,1/2,5,5,5,2,1,0,2,K(2)*(1980),uS,K_{2}^{*}(1980)^{+}
-9010325,1990.0,60.0,50.0,349.0,50.0,30.0,1/2,5,5,5,2,-1,0,2,K(2)*(1980),Us,K_{2}^{*}(1980)^{-}
